Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
ww2-dallas-poolB-match-1,ww2-dallas-poolB-match-1-map-1,1.0,Luminosity Gaming,2.0,Epsilon Esports,CWL Dallas 2018,Hardpoint,London Docks,1,250.0,93.0,Luminosity Gaming,
ww2-dallas-poolB-match-1,ww2-dallas-poolB-match-1-map-2,1.0,Luminosity Gaming,2.0,Epsilon Esports,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,6.0,2.0,Luminosity Gaming,
ww2-dallas-poolB-match-1,ww2-dallas-poolB-match-1-map-3,1.0,Luminosity Gaming,2.0,Epsilon Esports,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,4.0,2.0,Luminosity Gaming,
ww2-dallas-poolB-match-2,ww2-dallas-poolB-match-2-map-1,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,130.0,Team Vitality,
ww2-dallas-poolB-match-2,ww2-dallas-poolB-match-2-map-2,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,Search and Destroy,London Docks,2,0.0,6.0,Ground Zero,
ww2-dallas-poolB-match-2,ww2-dallas-poolB-match-2-map-3,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,1.0,2.0,Ground Zero,
ww2-dallas-poolB-match-2,ww2-dallas-poolB-match-2-map-4,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,250.0,137.0,Team Vitality,
ww2-dallas-poolB-match-2,ww2-dallas-poolB-match-2-map-5,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,Search and Destroy,Sainte Marie du Mont,5,5.0,6.0,Ground Zero,
ww2-dallas-poolD-match-1,ww2-dallas-poolD-match-1-map-1,5.0,eUnited,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,41.0,eUnited,https://www.twitch.tv/videos/207819313?t=00h34m30s
ww2-dallas-poolD-match-1,ww2-dallas-poolD-match-1-map-2,5.0,eUnited,6.0,Evil Geniuses,CWL Dallas 2018,Search and Destroy,London Docks,2,6.0,4.0,eUnited,https://www.twitch.tv/videos/207819313?t=00h44m45s
ww2-dallas-poolD-match-1,ww2-dallas-poolD-match-1-map-3,5.0,eUnited,6.0,Evil Geniuses,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,1.0,3.0,Evil Geniuses,https://www.twitch.tv/videos/207819313?t=01h05m43s
ww2-dallas-poolD-match-1,ww2-dallas-poolD-match-1-map-4,5.0,eUnited,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,London Docks,4,250.0,247.0,eUnited,https://www.twitch.tv/videos/207819313?t=01h20m49s
ww2-dallas-poolD-match-2,ww2-dallas-poolD-match-2-map-1,7.0,Splyce,8.0,Ghost Gaming,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,129.0,Splyce,
ww2-dallas-poolD-match-2,ww2-dallas-poolD-match-2-map-2,7.0,Splyce,8.0,Ghost Gaming,CWL Dallas 2018,Search and Destroy,Sainte Marie du Mont,2,6.0,3.0,Splyce,
ww2-dallas-poolD-match-2,ww2-dallas-poolD-match-2-map-3,7.0,Splyce,8.0,Ghost Gaming,CWL Dallas 2018,Capture The Flag,London Docks,3,4.0,3.0,Splyce,
ww2-dallas-poolA-match-1,ww2-dallas-poolA-match-1-map-1,9.0,OpTic Gaming,10.0,Enigma6 Group,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,218.0,OpTic Gaming,
ww2-dallas-poolA-match-1,ww2-dallas-poolA-match-1-map-2,9.0,OpTic Gaming,10.0,Enigma6 Group,CWL Dallas 2018,Search and Destroy,USS Texas,2,2.0,6.0,Enigma6 Group,
ww2-dallas-poolA-match-1,ww2-dallas-poolA-match-1-map-3,9.0,OpTic Gaming,10.0,Enigma6 Group,CWL Dallas 2018,Capture The Flag,London Docks,3,4.0,2.0,OpTic Gaming,
ww2-dallas-poolA-match-1,ww2-dallas-poolA-match-1-map-4,9.0,OpTic Gaming,10.0,Enigma6 Group,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,4,250.0,134.0,OpTic Gaming,
ww2-dallas-poolA-match-2,ww2-dallas-poolA-match-2-map-1,11.0,UNILAD Esports,12.0,Team Envy,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,232.0,250.0,Team Envy,
ww2-dallas-poolA-match-2,ww2-dallas-poolA-match-2-map-2,11.0,UNILAD Esports,12.0,Team Envy,CWL Dallas 2018,Search and Destroy,Sainte Marie du Mont,2,1.0,6.0,Team Envy,
ww2-dallas-poolA-match-2,ww2-dallas-poolA-match-2-map-3,11.0,UNILAD Esports,12.0,Team Envy,CWL Dallas 2018,Capture The Flag,London Docks,3,1.0,3.0,Team Envy,
ww2-dallas-poolC-match-1,ww2-dallas-poolC-match-1-map-1,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,227.0,Red Reserve,
ww2-dallas-poolC-match-1,ww2-dallas-poolC-match-1-map-2,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,Search and Destroy,USS Texas,2,6.0,3.0,Red Reserve,
ww2-dallas-poolC-match-1,ww2-dallas-poolC-match-1-map-3,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,Capture The Flag,Flak Tower,3,3.0,4.0,Team Kaliber,
ww2-dallas-poolC-match-1,ww2-dallas-poolC-match-1-map-4,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,46.0,250.0,Team Kaliber,
ww2-dallas-poolC-match-1,ww2-dallas-poolC-match-1-map-5,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,Search and Destroy,Ardennes Forest,5,5.0,6.0,Team Kaliber,
ww2-dallas-poolC-match-2,ww2-dallas-poolC-match-2-map-1,15.0,Rise Nation,16.0,Mindfreak,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,146.0,Rise Nation,
ww2-dallas-poolC-match-2,ww2-dallas-poolC-match-2-map-2,15.0,Rise Nation,16.0,Mindfreak,CWL Dallas 2018,Search and Destroy,London Docks,2,6.0,3.0,Rise Nation,
ww2-dallas-poolC-match-2,ww2-dallas-poolC-match-2-map-3,15.0,Rise Nation,16.0,Mindfreak,CWL Dallas 2018,Capture The Flag,Flak Tower,3,5.0,0.0,Rise Nation,
ww2-dallas-poolB-match-3,ww2-dallas-poolB-match-3-map-1,1.0,Luminosity Gaming,4.0,Ground Zero,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,99.0,Luminosity Gaming,
ww2-dallas-poolB-match-3,ww2-dallas-poolB-match-3-map-2,1.0,Luminosity Gaming,4.0,Ground Zero,CWL Dallas 2018,Search and Destroy,USS Texas,2,6.0,5.0,Luminosity Gaming,
ww2-dallas-poolB-match-3,ww2-dallas-poolB-match-3-map-3,1.0,Luminosity Gaming,4.0,Ground Zero,CWL Dallas 2018,Capture The Flag,London Docks,3,9.0,0.0,Luminosity Gaming,
ww2-dallas-poolB-match-4,ww2-dallas-poolB-match-4-map-1,3.0,Team Vitality,2.0,Epsilon Esports,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,144.0,250.0,Epsilon Esports,
ww2-dallas-poolB-match-4,ww2-dallas-poolB-match-4-map-2,3.0,Team Vitality,2.0,Epsilon Esports,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,5.0,6.0,Epsilon Esports,
ww2-dallas-poolB-match-4,ww2-dallas-poolB-match-4-map-3,3.0,Team Vitality,2.0,Epsilon Esports,CWL Dallas 2018,Capture The Flag,Flak Tower,3,3.0,4.0,Epsilon Esports,
ww2-dallas-poolD-match-3,ww2-dallas-poolD-match-3-map-1,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,142.0,250.0,Evil Geniuses,
ww2-dallas-poolD-match-3,ww2-dallas-poolD-match-3-map-2,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,Search and Destroy,USS Texas,2,4.0,6.0,Evil Geniuses,
ww2-dallas-poolD-match-3,ww2-dallas-poolD-match-3-map-3,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,3.0,2.0,Splyce,
ww2-dallas-poolD-match-3,ww2-dallas-poolD-match-3-map-4,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,London Docks,4,250.0,192.0,Splyce,
ww2-dallas-poolD-match-3,ww2-dallas-poolD-match-3-map-5,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,Search and Destroy,Ardennes Forest,5,2.0,6.0,Evil Geniuses,
ww2-dallas-poolD-match-4,ww2-dallas-poolD-match-4-map-1,8.0,Ghost Gaming,5.0,eUnited,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,83.0,250.0,eUnited,
ww2-dallas-poolD-match-4,ww2-dallas-poolD-match-4-map-2,8.0,Ghost Gaming,5.0,eUnited,CWL Dallas 2018,Search and Destroy,London Docks,2,2.0,6.0,eUnited,
ww2-dallas-poolD-match-4,ww2-dallas-poolD-match-4-map-3,8.0,Ghost Gaming,5.0,eUnited,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,2.0,4.0,eUnited,
ww2-dallas-poolA-match-3,ww2-dallas-poolA-match-3-map-1,12.0,Team Envy,10.0,Enigma6 Group,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,205.0,Team Envy,
ww2-dallas-poolA-match-3,ww2-dallas-poolA-match-3-map-2,12.0,Team Envy,10.0,Enigma6 Group,CWL Dallas 2018,Search and Destroy,Sainte Marie du Mont,2,6.0,3.0,Team Envy,
ww2-dallas-poolA-match-3,ww2-dallas-poolA-match-3-map-3,12.0,Team Envy,10.0,Enigma6 Group,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,4.0,0.0,Team Envy,
ww2-dallas-poolA-match-4,ww2-dallas-poolA-match-4-map-1,9.0,OpTic Gaming,11.0,UNILAD Esports,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,131.0,OpTic Gaming,
ww2-dallas-poolA-match-4,ww2-dallas-poolA-match-4-map-2,9.0,OpTic Gaming,11.0,UNILAD Esports,CWL Dallas 2018,Search and Destroy,London Docks,2,4.0,6.0,UNILAD Esports,
ww2-dallas-poolA-match-4,ww2-dallas-poolA-match-4-map-3,9.0,OpTic Gaming,11.0,UNILAD Esports,CWL Dallas 2018,Capture The Flag,London Docks,3,3.0,2.0,OpTic Gaming,
ww2-dallas-poolA-match-4,ww2-dallas-poolA-match-4-map-4,9.0,OpTic Gaming,11.0,UNILAD Esports,CWL Dallas 2018,Hardpoint,London Docks,4,250.0,68.0,OpTic Gaming,
ww2-dallas-poolC-match-3,ww2-dallas-poolC-match-3-map-1,14.0,Team Kaliber,15.0,Rise Nation,CWL Dallas 2018,Hardpoint,,1,,,Team Kaliber,
ww2-dallas-poolC-match-3,ww2-dallas-poolC-match-3-map-2,14.0,Team Kaliber,15.0,Rise Nation,CWL Dallas 2018,Search and Destroy,USS Texas,2,2.0,6.0,Rise Nation,
ww2-dallas-poolC-match-3,ww2-dallas-poolC-match-3-map-3,14.0,Team Kaliber,15.0,Rise Nation,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,2.0,1.0,Team Kaliber,
ww2-dallas-poolC-match-3,ww2-dallas-poolC-match-3-map-4,14.0,Team Kaliber,15.0,Rise Nation,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,4,250.0,203.0,Team Kaliber,
ww2-dallas-poolC-match-4,ww2-dallas-poolC-match-4-map-1,13.0,Red Reserve,16.0,Mindfreak,CWL Dallas 2018,Hardpoint,London Docks,1,250.0,56.0,Red Reserve,
ww2-dallas-poolC-match-4,ww2-dallas-poolC-match-4-map-2,13.0,Red Reserve,16.0,Mindfreak,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,2.0,6.0,Mindfreak,
ww2-dallas-poolC-match-4,ww2-dallas-poolC-match-4-map-3,13.0,Red Reserve,16.0,Mindfreak,CWL Dallas 2018,Capture The Flag,London Docks,3,5.0,1.0,Red Reserve,
ww2-dallas-poolC-match-4,ww2-dallas-poolC-match-4-map-4,13.0,Red Reserve,16.0,Mindfreak,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,250.0,179.0,Red Reserve,
ww2-dallas-poolB-match-5,ww2-dallas-poolB-match-5-map-1,4.0,Ground Zero,2.0,Epsilon Esports,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,231.0,Ground Zero,
ww2-dallas-poolB-match-5,ww2-dallas-poolB-match-5-map-2,4.0,Ground Zero,2.0,Epsilon Esports,CWL Dallas 2018,Search and Destroy,London Docks,2,4.0,6.0,Epsilon Esports,
ww2-dallas-poolB-match-5,ww2-dallas-poolB-match-5-map-3,4.0,Ground Zero,2.0,Epsilon Esports,CWL Dallas 2018,Capture The Flag,London Docks,3,3.0,1.0,Ground Zero,
ww2-dallas-poolB-match-5,ww2-dallas-poolB-match-5-map-4,4.0,Ground Zero,2.0,Epsilon Esports,CWL Dallas 2018,Hardpoint,London Docks,4,250.0,236.0,Ground Zero,
ww2-dallas-poolB-match-6,ww2-dallas-poolB-match-6-map-1,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,191.0,250.0,Luminosity Gaming,
ww2-dallas-poolB-match-6,ww2-dallas-poolB-match-6-map-2,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,Search and Destroy,USS Texas,2,6.0,4.0,Team Vitality,
ww2-dallas-poolB-match-6,ww2-dallas-poolB-match-6-map-3,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,Capture The Flag,Flak Tower,3,5.0,3.0,Team Vitality,
ww2-dallas-poolB-match-6,ww2-dallas-poolB-match-6-map-4,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,53.0,250.0,Luminosity Gaming,
ww2-dallas-poolB-match-6,ww2-dallas-poolB-match-6-map-5,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,Search and Destroy,Ardennes Forest,5,6.0,5.0,Team Vitality,
ww2-dallas-poolD-match-5,ww2-dallas-poolD-match-5-map-1,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,250.0,134.0,Splyce,
ww2-dallas-poolD-match-5,ww2-dallas-poolD-match-5-map-2,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,6.0,4.0,Splyce,
ww2-dallas-poolD-match-5,ww2-dallas-poolD-match-5-map-3,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,Capture The Flag,London Docks,3,2.0,3.0,eUnited,
ww2-dallas-poolD-match-5,ww2-dallas-poolD-match-5-map-4,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,Hardpoint,London Docks,4,172.0,250.0,eUnited,
ww2-dallas-poolD-match-5,ww2-dallas-poolD-match-5-map-5,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,Search and Destroy,USS Texas,5,6.0,2.0,Splyce,
ww2-dallas-poolD-match-6,ww2-dallas-poolD-match-6-map-1,8.0,Ghost Gaming,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,152.0,250.0,Evil Geniuses,
ww2-dallas-poolD-match-6,ww2-dallas-poolD-match-6-map-2,8.0,Ghost Gaming,6.0,Evil Geniuses,CWL Dallas 2018,Search and Destroy,London Docks,2,6.0,5.0,Ghost Gaming,
ww2-dallas-poolD-match-6,ww2-dallas-poolD-match-6-map-3,8.0,Ghost Gaming,6.0,Evil Geniuses,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,0.0,1.0,Evil Geniuses,
ww2-dallas-poolD-match-6,ww2-dallas-poolD-match-6-map-4,8.0,Ghost Gaming,6.0,Evil Geniuses,CWL Dallas 2018,Hardpoint,London Docks,4,184.0,250.0,Evil Geniuses,
ww2-dallas-poolA-match-5,ww2-dallas-poolA-match-5-map-1,9.0,OpTic Gaming,12.0,Team Envy,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,116.0,OpTic Gaming,
ww2-dallas-poolA-match-5,ww2-dallas-poolA-match-5-map-2,9.0,OpTic Gaming,12.0,Team Envy,CWL Dallas 2018,Search and Destroy,Sainte Marie du Mont,2,2.0,6.0,Team Envy,
ww2-dallas-poolA-match-5,ww2-dallas-poolA-match-5-map-3,9.0,OpTic Gaming,12.0,Team Envy,CWL Dallas 2018,Capture The Flag,London Docks,3,6.0,0.0,OpTic Gaming,
ww2-dallas-poolA-match-5,ww2-dallas-poolA-match-5-map-4,9.0,OpTic Gaming,12.0,Team Envy,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,4,250.0,234.0,OpTic Gaming,
ww2-dallas-poolA-match-6,ww2-dallas-poolA-match-6-map-1,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,183.0,250.0,UNILAD Esports,
ww2-dallas-poolA-match-6,ww2-dallas-poolA-match-6-map-2,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,3.0,6.0,UNILAD Esports,
ww2-dallas-poolA-match-6,ww2-dallas-poolA-match-6-map-3,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,Capture The Flag,London Docks,3,3.0,0.0,Enigma6 Group,
ww2-dallas-poolA-match-6,ww2-dallas-poolA-match-6-map-4,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,250.0,198.0,Enigma6 Group,
ww2-dallas-poolA-match-6,ww2-dallas-poolA-match-6-map-5,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,Search and Destroy,London Docks,5,6.0,3.0,Enigma6 Group,
ww2-dallas-poolC-match-5,ww2-dallas-poolC-match-5-map-1,13.0,Red Reserve,15.0,Rise Nation,CWL Dallas 2018,Hardpoint,London Docks,1,250.0,163.0,Red Reserve,
ww2-dallas-poolC-match-5,ww2-dallas-poolC-match-5-map-2,13.0,Red Reserve,15.0,Rise Nation,CWL Dallas 2018,Search and Destroy,USS Texas,2,6.0,1.0,Red Reserve,
ww2-dallas-poolC-match-5,ww2-dallas-poolC-match-5-map-3,13.0,Red Reserve,15.0,Rise Nation,CWL Dallas 2018,Capture The Flag,Flak Tower,3,4.0,3.0,Red Reserve,
ww2-dallas-poolC-match-6,ww2-dallas-poolC-match-6-map-1,16.0,Mindfreak,14.0,Team Kaliber,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,1,240.0,250.0,Team Kaliber,
ww2-dallas-poolC-match-6,ww2-dallas-poolC-match-6-map-2,16.0,Mindfreak,14.0,Team Kaliber,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,3.0,6.0,Team Kaliber,
ww2-dallas-poolC-match-6,ww2-dallas-poolC-match-6-map-3,16.0,Mindfreak,14.0,Team Kaliber,CWL Dallas 2018,Capture The Flag,Flak Tower,3,0.0,4.0,Team Kaliber,
ww2-dallas-poolA-match-7,ww2-dallas-poolA-match-7-map-1,11.0,UNILAD Esports,17.0,Echo Fox,CWL Dallas 2018,Hardpoint,Gibraltar,1,250.0,158.0,UNILAD Esports,
ww2-dallas-poolA-match-7,ww2-dallas-poolA-match-7-map-2,11.0,UNILAD Esports,17.0,Echo Fox,CWL Dallas 2018,Search and Destroy,London Docks,2,6.0,1.0,UNILAD Esports,
ww2-dallas-poolA-match-7,ww2-dallas-poolA-match-7-map-3,11.0,UNILAD Esports,17.0,Echo Fox,CWL Dallas 2018,Capture The Flag,London Docks,3,4.0,3.0,UNILAD Esports,
ww2-dallas-poolB-match-7,ww2-dallas-poolB-match-7-map-1,2.0,Epsilon Esports,18.0,Team Allegiance,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,250.0,214.0,Epsilon Esports,
ww2-dallas-poolB-match-7,ww2-dallas-poolB-match-7-map-2,2.0,Epsilon Esports,18.0,Team Allegiance,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,6.0,1.0,Epsilon Esports,
ww2-dallas-poolB-match-7,ww2-dallas-poolB-match-7-map-3,2.0,Epsilon Esports,18.0,Team Allegiance,CWL Dallas 2018,Capture The Flag,Flak Tower,3,3.0,2.0,Epsilon Esports,
ww2-dallas-poolC-match-7,ww2-dallas-poolC-match-7-map-1,16.0,Mindfreak,19.0,Next Threat,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,195.0,250.0,Next Threat,
ww2-dallas-poolC-match-7,ww2-dallas-poolC-match-7-map-2,16.0,Mindfreak,19.0,Next Threat,CWL Dallas 2018,Search and Destroy,London Docks,2,6.0,5.0,Mindfreak,
ww2-dallas-poolC-match-7,ww2-dallas-poolC-match-7-map-3,16.0,Mindfreak,19.0,Next Threat,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,1.0,3.0,Next Threat,
ww2-dallas-poolC-match-7,ww2-dallas-poolC-match-7-map-4,16.0,Mindfreak,19.0,Next Threat,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,4,179.0,250.0,Next Threat,
ww2-dallas-poolD-match-7,ww2-dallas-poolD-match-7-map-1,8.0,Ghost Gaming,20.0,FaZe Clan,CWL Dallas 2018,Hardpoint,Ardennes Forest,1,243.0,250.0,FaZe Clan,
ww2-dallas-poolD-match-7,ww2-dallas-poolD-match-7-map-2,8.0,Ghost Gaming,20.0,FaZe Clan,CWL Dallas 2018,Search and Destroy,London Docks,2,5.0,6.0,FaZe Clan,
ww2-dallas-poolD-match-7,ww2-dallas-poolD-match-7-map-3,8.0,Ghost Gaming,20.0,FaZe Clan,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,0.0,1.0,FaZe Clan,
ww2-dallas-poolA-match-8,ww2-dallas-poolA-match-8-map-1,12.0,Team Envy,17.0,Echo Fox,CWL Dallas 2018,Hardpoint,Gibraltar,1,250.0,248.0,Team Envy,
ww2-dallas-poolA-match-8,ww2-dallas-poolA-match-8-map-2,12.0,Team Envy,17.0,Echo Fox,CWL Dallas 2018,Search and Destroy,Ardennes Forest,2,1.0,6.0,Echo Fox,
ww2-dallas-poolA-match-8,ww2-dallas-poolA-match-8-map-3,12.0,Team Envy,17.0,Echo Fox,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,2.0,3.0,Echo Fox,
ww2-dallas-poolA-match-8,ww2-dallas-poolA-match-8-map-4,12.0,Team Envy,17.0,Echo Fox,CWL Dallas 2018,Hardpoint,Ardennes Forest,4,194.0,250.0,Echo Fox,
ww2-dallas-poolB-match-8,ww2-dallas-poolB-match-8-map-1,4.0,Ground Zero,18.0,Team Allegiance,CWL Dallas 2018,Hardpoint,London Docks,1,250.0,178.0,Ground Zero,
ww2-dallas-poolB-match-8,ww2-dallas-poolB-match-8-map-2,4.0,Ground Zero,18.0,Team Allegiance,CWL Dallas 2018,Search and Destroy,USS Texas,2,6.0,1.0,Ground Zero,
ww2-dallas-poolB-match-8,ww2-dallas-poolB-match-8-map-3,4.0,Ground Zero,18.0,Team Allegiance,CWL Dallas 2018,Capture The Flag,Ardennes Forest,3,1.0,3.0,Team Allegiance,
ww2-dallas-poolB-match-8,ww2-dallas-poolB-match-8-map-4,4.0,Ground Zero,18.0,Team Allegiance,CWL Dallas 2018,Hardpoint,Sainte Marie du Mont,4,250.0,142.0,Ground Zero,
