Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
ww2-dallas-poolB-match-1,1,1.0,Luminosity Gaming,2.0,Epsilon Esports,CWL Dallas 2018,12/8/17,3,0,Luminosity Gaming,
ww2-dallas-poolB-match-2,2,3.0,Team Vitality,4.0,Ground Zero,CWL Dallas 2018,12/8/17,2,3,Ground Zero,
ww2-dallas-poolD-match-1,3,5.0,eUnited,6.0,Evil Geniuses,CWL Dallas 2018,12/8/17,3,1,eUnited,https://www.twitch.tv/videos/207819313?t=00h33m30s
ww2-dallas-poolD-match-2,4,7.0,Splyce,8.0,Ghost Gaming,CWL Dallas 2018,12/8/17,3,0,Splyce,
ww2-dallas-poolA-match-1,5,9.0,OpTic Gaming,10.0,Enigma6 Group,CWL Dallas 2018,12/9/17,3,1,OpTic Gaming,
ww2-dallas-poolA-match-2,6,11.0,UNILAD Esports,12.0,Team Envy,CWL Dallas 2018,12/9/17,0,3,Team Envy,
ww2-dallas-poolC-match-1,7,13.0,Red Reserve,14.0,Team Kaliber,CWL Dallas 2018,12/9/17,2,3,Team Kaliber,
ww2-dallas-poolC-match-2,8,15.0,Rise Nation,16.0,Mindfreak,CWL Dallas 2018,12/9/17,3,0,Rise Nation,
ww2-dallas-poolB-match-3,9,1.0,Luminosity Gaming,4.0,Ground Zero,CWL Dallas 2018,12/9/17,3,0,Luminosity Gaming,
ww2-dallas-poolB-match-4,10,3.0,Team Vitality,2.0,Epsilon Esports,CWL Dallas 2018,12/9/17,0,3,Epsilon Esports,
ww2-dallas-poolD-match-3,11,7.0,Splyce,6.0,Evil Geniuses,CWL Dallas 2018,12/9/17,2,3,Evil Geniuses,
ww2-dallas-poolD-match-4,12,8.0,Ghost Gaming,5.0,eUnited,CWL Dallas 2018,12/9/17,0,3,eUnited,
ww2-dallas-poolA-match-3,13,12.0,Team Envy,10.0,Enigma6 Group,CWL Dallas 2018,12/9/17,3,0,Team Envy,
ww2-dallas-poolA-match-4,14,9.0,OpTic Gaming,11.0,UNILAD Esports,CWL Dallas 2018,12/9/17,3,1,OpTic Gaming,
ww2-dallas-poolC-match-3,15,14.0,Team Kaliber,15.0,Rise Nation,CWL Dallas 2018,12/9/17,3,1,Team Kaliber,
ww2-dallas-poolC-match-4,16,13.0,Red Reserve,16.0,Mindfreak,CWL Dallas 2018,12/9/17,3,1,Red Reserve,
ww2-dallas-poolB-match-5,17,4.0,Ground Zero,2.0,Epsilon Esports,CWL Dallas 2018,12/9/17,3,1,Ground Zero,
ww2-dallas-poolB-match-6,18,3.0,Team Vitality,1.0,Luminosity Gaming,CWL Dallas 2018,12/9/17,3,2,Team Vitality,
ww2-dallas-poolD-match-5,19,7.0,Splyce,5.0,eUnited,CWL Dallas 2018,12/9/17,3,2,Splyce,
ww2-dallas-poolD-match-6,20,8.0,Ghost Gaming,6.0,Evil Geniuses,CWL Dallas 2018,12/9/17,1,3,Evil Geniuses,
ww2-dallas-poolA-match-5,21,9.0,OpTic Gaming,12.0,Team Envy,CWL Dallas 2018,12/9/17,3,1,OpTic Gaming,
ww2-dallas-poolA-match-6,22,10.0,Enigma6 Group,11.0,UNILAD Esports,CWL Dallas 2018,12/9/17,3,2,Enigma6 Group,
