Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
bo4-lasvegasplayin-winners1-match-1,bo4-lasvegasplayin-winners1-match-1-map-1,16,Mindfreak,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,Str8 Rippin,
bo4-lasvegasplayin-winners1-match-1,bo4-lasvegasplayin-winners1-match-1-map-2,16,Mindfreak,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,Str8 Rippin,
bo4-lasvegasplayin-winners1-match-1,bo4-lasvegasplayin-winners1-match-1-map-3,16,Mindfreak,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Control,,3,,,Str8 Rippin,
bo4-lasvegasplayin-winners1-match-2,bo4-lasvegasplayin-winners1-match-2-map-1,58,The Imperial,71,UYU,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,,
bo4-lasvegasplayin-winners1-match-2,bo4-lasvegasplayin-winners1-match-2-map-2,58,The Imperial,71,UYU,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,,
bo4-lasvegasplayin-winners1-match-2,bo4-lasvegasplayin-winners1-match-2-map-3,58,The Imperial,71,UYU,CWL Las Vegas 2019 Play-In,Control,,3,,,,
bo4-lasvegasplayin-winners1-match-2,bo4-lasvegasplayin-winners1-match-2-map-4,58,The Imperial,71,UYU,CWL Las Vegas 2019 Play-In,Hardpoint,,4,,,,
bo4-lasvegasplayin-winners1-match-2,bo4-lasvegasplayin-winners1-match-2-map-5,58,The Imperial,71,UYU,CWL Las Vegas 2019 Play-In,Search and Destroy,,5,,,UYU,
bo4-lasvegasplayin-winners1-match-3,bo4-lasvegasplayin-winners1-match-3-map-1,72,Pittsburgh Knights,73,Team Divine,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,,
bo4-lasvegasplayin-winners1-match-3,bo4-lasvegasplayin-winners1-match-3-map-2,72,Pittsburgh Knights,73,Team Divine,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,,
bo4-lasvegasplayin-winners1-match-3,bo4-lasvegasplayin-winners1-match-3-map-3,72,Pittsburgh Knights,73,Team Divine,CWL Las Vegas 2019 Play-In,Control,,3,,,,
bo4-lasvegasplayin-winners1-match-3,bo4-lasvegasplayin-winners1-match-3-map-4,72,Pittsburgh Knights,73,Team Divine,CWL Las Vegas 2019 Play-In,Hardpoint,,4,,,,
bo4-lasvegasplayin-winners1-match-3,bo4-lasvegasplayin-winners1-match-3-map-5,72,Pittsburgh Knights,73,Team Divine,CWL Las Vegas 2019 Play-In,Search and Destroy,,5,,,Pittsburgh Knights,
bo4-lasvegasplayin-winners1-match-4,bo4-lasvegasplayin-winners1-match-4-map-1,35,Tainted Minds,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,Tainted Minds,
bo4-lasvegasplayin-winners1-match-4,bo4-lasvegasplayin-winners1-match-4-map-2,35,Tainted Minds,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,Tainted Minds,
bo4-lasvegasplayin-winners1-match-4,bo4-lasvegasplayin-winners1-match-4-map-3,35,Tainted Minds,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Control,,3,,,Tainted Minds,
bo4-lasvegasplayin-winners2-match-1,bo4-lasvegasplayin-winners2-match-1-map-1,71,UYU,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,,
bo4-lasvegasplayin-winners2-match-1,bo4-lasvegasplayin-winners2-match-1-map-2,71,UYU,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,,
bo4-lasvegasplayin-winners2-match-1,bo4-lasvegasplayin-winners2-match-1-map-3,71,UYU,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Control,,3,,,,
bo4-lasvegasplayin-winners2-match-1,bo4-lasvegasplayin-winners2-match-1-map-4,71,UYU,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Hardpoint,,4,,,,
bo4-lasvegasplayin-winners2-match-1,bo4-lasvegasplayin-winners2-match-1-map-5,71,UYU,70,Str8 Rippin,CWL Las Vegas 2019 Play-In,Search and Destroy,,5,,,Str8 Rippin,
bo4-lasvegasplayin-winners2-match-2,bo4-lasvegasplayin-winners2-match-2-map-1,72,Pittsburgh Knights,35,Tainted Minds,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,,
bo4-lasvegasplayin-winners2-match-2,bo4-lasvegasplayin-winners2-match-2-map-2,72,Pittsburgh Knights,35,Tainted Minds,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,,
bo4-lasvegasplayin-winners2-match-2,bo4-lasvegasplayin-winners2-match-2-map-3,72,Pittsburgh Knights,35,Tainted Minds,CWL Las Vegas 2019 Play-In,Control,,3,,,,
bo4-lasvegasplayin-winners2-match-2,bo4-lasvegasplayin-winners2-match-2-map-4,72,Pittsburgh Knights,35,Tainted Minds,CWL Las Vegas 2019 Play-In,Hardpoint,,4,,,Pittsburgh Knights,
bo4-lasvegasplayin-losers1-match-1,bo4-lasvegasplayin-losers1-match-1-map-1,58,The Imperial,16,Mindfreak,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,Mindfreak,
bo4-lasvegasplayin-losers1-match-1,bo4-lasvegasplayin-losers1-match-1-map-2,58,The Imperial,16,Mindfreak,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,Mindfreak,
bo4-lasvegasplayin-losers1-match-1,bo4-lasvegasplayin-losers1-match-1-map-3,58,The Imperial,16,Mindfreak,CWL Las Vegas 2019 Play-In,Control,,3,,,Mindfreak,
bo4-lasvegasplayin-losers1-match-2,bo4-lasvegasplayin-losers1-match-2-map-1,73,Team Divine,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,Team Divine,
bo4-lasvegasplayin-losers1-match-2,bo4-lasvegasplayin-losers1-match-2-map-2,73,Team Divine,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,Team Divine,
bo4-lasvegasplayin-losers1-match-2,bo4-lasvegasplayin-losers1-match-2-map-3,73,Team Divine,69,Gone Gaming,CWL Las Vegas 2019 Play-In,Control,,3,,,Team Divine,
bo4-lasvegasplayin-losers2-match-1,bo4-lasvegasplayin-losers2-match-1-map-1,71,UYU,73,Team Divine,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,,
bo4-lasvegasplayin-losers2-match-1,bo4-lasvegasplayin-losers2-match-1-map-2,71,UYU,73,Team Divine,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,,
bo4-lasvegasplayin-losers2-match-1,bo4-lasvegasplayin-losers2-match-1-map-3,71,UYU,73,Team Divine,CWL Las Vegas 2019 Play-In,Control,,3,,,,
bo4-lasvegasplayin-losers2-match-1,bo4-lasvegasplayin-losers2-match-1-map-4,71,UYU,73,Team Divine,CWL Las Vegas 2019 Play-In,Hardpoint,,4,,,UYU,
bo4-lasvegasplayin-losers2-match-2,bo4-lasvegasplayin-losers2-match-2-map-1,35,Tainted Minds,16,Mindfreak,CWL Las Vegas 2019 Play-In,Hardpoint,,1,,,Mindfreak,
bo4-lasvegasplayin-losers2-match-2,bo4-lasvegasplayin-losers2-match-2-map-2,35,Tainted Minds,16,Mindfreak,CWL Las Vegas 2019 Play-In,Search and Destroy,,2,,,Mindfreak,
bo4-lasvegasplayin-losers2-match-2,bo4-lasvegasplayin-losers2-match-2-map-3,35,Tainted Minds,16,Mindfreak,CWL Las Vegas 2019 Play-In,Control,,3,,,Mindfreak,
bo4-lasvegas-poolA-match-1,bo4-lasvegas-poolA-match-1-map-1,74,100 Thieves,75,Team Reciprocity,CWL Las Vegas 2019,Hardpoint,Frequency,1,250,160,100 Thieves,https://www.twitch.tv/videos/346045966?t=01h34m48s
bo4-lasvegas-poolA-match-1,bo4-lasvegas-poolA-match-1-map-2,74,100 Thieves,75,Team Reciprocity,CWL Las Vegas 2019,Search and Destroy,Arsenal,2,5,6,Team Reciprocity,https://www.twitch.tv/videos/346045966?t=01h50m02s
