Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
bo4-lasvegasplayin-winners1-match-1,1,16.0,Mindfreak,70.0,Str8 Rippin,CWL Las Vegas 2019 Play-In,12/6/18,0,3,Str8 Rippin,
bo4-lasvegasplayin-winners1-match-2,2,58.0,The Imperial,71.0,UYU,CWL Las Vegas 2019 Play-In,12/6/18,2,3,UYU,
bo4-lasvegasplayin-winners1-match-3,3,72.0,Pittsburgh Knights,73.0,Team Divine,CWL Las Vegas 2019 Play-In,12/6/18,3,2,Pittsburgh Knights,
bo4-lasvegasplayin-winners1-match-4,4,35.0,Tainted Minds,69.0,Gone Gaming,CWL Las Vegas 2019 Play-In,12/6/18,3,0,Tainted Minds,
bo4-lasvegasplayin-winners2-match-1,5,71.0,UYU,70.0,Str8 Rippin,CWL Las Vegas 2019 Play-In,12/6/18,2,3,Str8 Rippin,
bo4-lasvegasplayin-winners2-match-2,6,72.0,Pittsburgh Knights,35.0,Tainted Minds,CWL Las Vegas 2019 Play-In,12/6/18,3,1,Pittsburgh Knights,
bo4-lasvegasplayin-losers1-match-1,7,58.0,The Imperial,16.0,Mindfreak,CWL Las Vegas 2019 Play-In,12/6/18,0,3,Mindfreak,
bo4-lasvegasplayin-losers1-match-2,8,73.0,Team Divine,69.0,Gone Gaming,CWL Las Vegas 2019 Play-In,12/6/18,3,0,Team Divine,
bo4-lasvegasplayin-losers2-match-1,9,71.0,UYU,73.0,Team Divine,CWL Las Vegas 2019 Play-In,12/6/18,3,1,UYU,
bo4-lasvegasplayin-losers2-match-2,10,35.0,Tainted Minds,16.0,Mindfreak,CWL Las Vegas 2019 Play-In,12/6/18,0,3,Mindfreak,
bo4-lasvegas-poolA-match-1,11,74.0,100 Thieves,75.0,Team Reciprocity,CWL Las Vegas 2019,12/7/18,3,1,100 Thieves,https://www.twitch.tv/videos/346045966?t=01h34m27s
bo4-lasvegas-poolA-match-2,12,5.0,eUnited,16.0,Mindfreak,CWL Las Vegas 2019,12/7/18,3,1,eUnited,
bo4-lasvegas-poolA-match-3,13,5.0,eUnited,75.0,Team Reciprocity,CWL Las Vegas 2019,12/7/18,3,0,eUnited,
bo4-lasvegas-poolA-match-4,14,74.0,100 Thieves,16.0,Mindfreak,CWL Las Vegas 2019,12/7/18,3,1,100 Thieves,
bo4-lasvegas-poolB-match-1,15,1.0,Luminosity Gaming,13.0,Red Reserve,CWL Las Vegas 2019,12/7/18,3,1,Luminosity Gaming,
bo4-lasvegas-poolB-match-2,16,6.0,Evil Geniuses,71.0,UYU,CWL Las Vegas 2019,12/7/18,3,1,Evil Geniuses,
bo4-lasvegas-poolB-match-3,17,13.0,Red Reserve,6.0,Evil Geniuses,CWL Las Vegas 2019,12/7/18,2,3,Evil Geniuses,
bo4-lasvegas-poolB-match-4,18,1.0,Luminosity Gaming,71.0,UYU,CWL Las Vegas 2019,12/7/18,3,0,Luminosity Gaming,
bo4-lasvegas-poolB-match-5,19,1.0,Luminosity Gaming,6.0,Evil Geniuses,CWL Las Vegas 2019,12/7/18,2,3,Evil Geniuses,
bo4-lasvegas-poolB-match-6,20,13.0,Red Reserve,71.0,UYU,CWL Las Vegas 2019,12/7/18,2,3,UYU,
bo4-lasvegas-poolC-match-1,21,20.0,FaZe Clan,12.0,Team Envy,CWL Las Vegas 2019,12/7/18,3,2,FaZe Clan,
bo4-lasvegas-poolC-match-2,22,23.0,Lightning Pandas,70.0,Str8 Rippin,CWL Las Vegas 2019,12/7/18,3,1,Lightning Pandas,
bo4-lasvegas-poolC-match-3,23,12.0,Team Envy,23.0,Lightning Pandas,CWL Las Vegas 2019,12/7/18,3,1,Team Envy,
bo4-lasvegas-poolC-match-4,24,20.0,FaZe Clan,70.0,Str8 Rippin,CWL Las Vegas 2019,12/7/18,1,3,Str8 Rippin,
bo4-lasvegas-poolD-match-1,25,7.0,Splyce,76.0,G2 Esports,CWL Las Vegas 2019,12/7/18,3,2,Splyce,
bo4-lasvegas-poolD-match-2,26,9.0,OpTic Gaming,72.0,Pittsburgh Knights,CWL Las Vegas 2019,12/7/18,3,0,OpTic Gaming,
bo4-lasvegas-poolD-match-3,27,9.0,OpTic Gaming,76.0,G2 Esports,CWL Las Vegas 2019,12/7/18,3,0,OpTic Gaming,
bo4-lasvegas-poolD-match-4,28,7.0,Splyce,72.0,Pittsburgh Knights,CWL Las Vegas 2019,12/7/18,3,1,Splyce,
