Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,104,Chicago Huntsmen,105,Dallas Empire,CDL Launch Weekend 2020,Hardpoint,Azhir Cave,1,250,209,Chicago Huntsmen,https://youtu.be/FX-_iKJtLKg?t=1758
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,104,Chicago Huntsmen,105,Dallas Empire,CDL Launch Weekend 2020,Search and Destroy,Arklov Peak,2,1,6,Dallas Empire,https://youtu.be/FX-_iKJtLKg?t=2906
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,104,Chicago Huntsmen,105,Dallas Empire,CDL Launch Weekend 2020,Domination,Hackney Yard,3,202,157,Chicago Huntsmen,https://youtu.be/FX-_iKJtLKg?t=4274
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,104,Chicago Huntsmen,105,Dallas Empire,CDL Launch Weekend 2020,Hardpoint,Gun Runner,4,250,173,Chicago Huntsmen,https://youtu.be/FX-_iKJtLKg?t=5376
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,Hardpoint,St. Petrograd,1,250,198,Seattle Surge,https://youtu.be/mgEGWofEKtQ?t=1152
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,Search and Destroy,Gun Runner,2,3,6,Florida Mutineers,https://youtu.be/mgEGWofEKtQ?t=2388
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,Domination,Gun Runner,3,188,184,Seattle Surge,https://youtu.be/mgEGWofEKtQ?t=3688
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-4,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,Hardpoint,Azhir Cave,4,215,250,Florida Mutineers,https://youtu.be/mgEGWofEKtQ?t=4754
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-5,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,Search and Destroy,Rammaza,5,0,6,Florida Mutineers,https://youtu.be/mgEGWofEKtQ?t=6188
mw-launch-schedmatch-match-3,mw-launch-schedmatch-match-3-map-1,108,Los Angeles Guerrillas,109,Minnesota RØKKR,CDL Launch Weekend 2020,Hardpoint,St. Petrograd,1,250,169,Los Angeles Guerrillas,https://youtu.be/u1i3UiESV3I?t=966
mw-launch-schedmatch-match-3,mw-launch-schedmatch-match-3-map-2,108,Los Angeles Guerrillas,109,Minnesota RØKKR,CDL Launch Weekend 2020,Search and Destroy,Piccadilly,2,,,Minnesota RØKKR,https://youtu.be/u1i3UiESV3I?t=2015
mw-launch-schedmatch-match-3,mw-launch-schedmatch-match-3-map-3,108,Los Angeles Guerrillas,109,Minnesota RØKKR,CDL Launch Weekend 2020,Domination,Hackney Yard,3,174,192,Minnesota RØKKR,https://youtu.be/u1i3UiESV3I?t=4183
mw-launch-schedmatch-match-3,mw-launch-schedmatch-match-3-map-4,108,Los Angeles Guerrillas,109,Minnesota RØKKR,CDL Launch Weekend 2020,Hardpoint,Hackney Yard,4,167,250,Minnesota RØKKR,https://youtu.be/u1i3UiESV3I?t=5262
mw-launch-schedmatch-match-4,mw-launch-schedmatch-match-4-map-1,110,New York Subliners,111,London Royal Ravens,CDL Launch Weekend 2020,Hardpoint,Azhir Cave,1,148,250,London Royal Ravens,https://youtu.be/nHluXDabCkw?t=525
mw-launch-schedmatch-match-4,mw-launch-schedmatch-match-4-map-2,110,New York Subliners,111,London Royal Ravens,CDL Launch Weekend 2020,Search and Destroy,Piccadilly,2,2,6,London Royal Ravens,https://youtu.be/nHluXDabCkw?t=1811
mw-launch-schedmatch-match-4,mw-launch-schedmatch-match-4-map-3,110,New York Subliners,111,London Royal Ravens,CDL Launch Weekend 2020,Domination,Hackney Yard,3,128,216,London Royal Ravens,https://youtu.be/nHluXDabCkw?t=3105
mw-launch-schedmatch-match-5,mw-launch-schedmatch-match-5-map-1,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,Hardpoint,Gun Runner,1,250,240,Seattle Surge,https://youtu.be/161PMAOq35c?t=472
mw-launch-schedmatch-match-5,mw-launch-schedmatch-match-5-map-2,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,Search and Destroy,Gun Runner,2,2,6,Toronto Ultra,https://youtu.be/161PMAOq35c?t=1594
mw-launch-schedmatch-match-5,mw-launch-schedmatch-match-5-map-3,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,Domination,Gun Runner,3,190,166,Seattle Surge,https://youtu.be/161PMAOq35c?t=2849
mw-launch-schedmatch-match-5,mw-launch-schedmatch-match-5-map-4,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,Hardpoint,Azhir Cave,4,211,250,Toronto Ultra,https://youtu.be/161PMAOq35c?t=3874
mw-launch-schedmatch-match-5,mw-launch-schedmatch-match-5-map-5,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,Search and Destroy,Rammaza,5,5,6,Toronto Ultra,https://youtu.be/161PMAOq35c?t=4855
