Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
mw-launch-schedmatch-match-1,1,104,Chicago Huntsmen,105,Dallas Empire,CDL Launch Weekend 2020,1/24/20,3,1,Chicago Huntsmen,https://youtu.be/FX-_iKJtLKg?t=1
mw-launch-schedmatch-match-2,2,106,Seattle Surge,107,Florida Mutineers,CDL Launch Weekend 2020,1/24/20,2,3,Florida Mutineers,https://youtu.be/mgEGWofEKtQ?t=1
mw-launch-schedmatch-match-3,3,108,Los Angeles Guerrillas,109,Minnesota RØKKR,CDL Launch Weekend 2020,1/24/20,1,3,Minnesota RØKKR,https://youtu.be/u1i3UiESV3I?t=1
mw-launch-schedmatch-match-4,4,110,New York Subliners,111,London Royal Ravens,CDL Launch Weekend 2020,1/25/20,0,3,London Royal Ravens,https://youtu.be/nHluXDabCkw?t=1
mw-launch-schedmatch-match-5,5,106,Seattle Surge,112,Toronto Ultra,CDL Launch Weekend 2020,1/25/20,2,3,Toronto Ultra,https://youtu.be/161PMAOq35c?t=1
mw-launch-schedmatch-match-6,6,108,Los Angeles Guerrillas,107,Florida Mutineers,CDL Launch Weekend 2020,1/25/20,3,2,Los Angeles Guerrillas,https://youtu.be/z18s4YxCcI8?t=1
mw-launch-schedmatch-match-7,7,113,Paris Legion,114,OpTic Gaming Los Angeles,CDL Launch Weekend 2020,1/25/20,3,2,Paris Legion,https://youtu.be/P1CdTruNXRY?t=1
mw-launch-schedmatch-match-8,8,105,Dallas Empire,115,Atlanta FaZe,CDL Launch Weekend 2020,1/25/20,0,3,Atlanta FaZe,https://youtu.be/usDGPdEuOSc?t=1
mw-launch-schedmatch-match-9,9,113,Paris Legion,111,London Royal Ravens,CDL Launch Weekend 2020,1/26/20,3,0,Paris Legion,https://youtu.be/JJ9rUTubGV8?t=1
mw-launch-schedmatch-match-10,10,104,Chicago Huntsmen,114,OpTic Gaming Los Angeles,CDL Launch Weekend 2020,1/26/20,3,0,Chicago Huntsmen,https://youtu.be/M7oK_VhLUOw?t=1
mw-launch-schedmatch-match-11,11,115,Atlanta FaZe,110,New York Subliners,CDL Launch Weekend 2020,1/26/20,3,1,Atlanta FaZe,https://youtu.be/DyoL-31m-eo?t=1
mw-launch-schedmatch-match-12,12,109,Minnesota RØKKR,112,Toronto Ultra,CDL Launch Weekend 2020,1/26/20,3,1,Minnesota RØKKR,https://youtu.be/S8hP_oCqkNI?t=1
mw-london1-Bwinners1-match-1,13,110,New York Subliners,113,Paris Legion,CDL London 1 2020,2/8/20,3,1,New York Subliners,https://youtu.be/luX0Wwr78UA?t=1
