Match ID,Map ID,Event,Team ID,Team,Opponent ID,Opponent,Mode,Map,Map Number,Player ID,Player,Kills,Deaths,K/D,Engagements,Difference,Map Result
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Azhir Cave,1,25,Arcitys,32,19,1.68,51,13,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Azhir Cave,1,21,FORMAL,31,24,1.29,55,7,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Azhir Cave,1,16,Gunless,32,28,1.14,60,4,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Azhir Cave,1,23,Envoy,21,30,0.7,51,-9,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Azhir Cave,1,24,Scump,30,35,0.86,65,-5,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Azhir Cave,1,10,C6,35,26,1.35,61,9,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Azhir Cave,1,42,Clayster,27,30,0.9,57,-3,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Azhir Cave,1,11,iLLey,23,30,0.77,53,-7,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Azhir Cave,1,12,Huke,29,33,0.88,62,-4,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-1,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Azhir Cave,1,9,Shotzzy,21,24,0.88,45,-3,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Search and Destroy,Arklov Peak,2,25,Arcitys,2,6,0.33,8,-4,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Search and Destroy,Arklov Peak,2,21,FORMAL,4,7,0.57,11,-3,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Search and Destroy,Arklov Peak,2,16,Gunless,1,7,0.14,8,-6,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Search and Destroy,Arklov Peak,2,23,Envoy,4,5,0.8,9,-1,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Search and Destroy,Arklov Peak,2,24,Scump,7,5,1.4,12,2,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,10,C6,7,3,2.33,10,4,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,42,Clayster,5,3,1.67,8,2,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,11,iLLey,4,5,0.8,9,-1,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,12,Huke,9,5,1.8,14,4,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-2,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Search and Destroy,Arklov Peak,2,9,Shotzzy,5,2,2.5,7,3,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Domination,Hackney Yard,3,25,Arcitys,32,24,1.33,56,8,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Domination,Hackney Yard,3,21,FORMAL,36,19,1.89,55,17,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Domination,Hackney Yard,3,16,Gunless,38,18,2.11,56,20,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Domination,Hackney Yard,3,23,Envoy,28,25,1.12,53,3,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Domination,Hackney Yard,3,24,Scump,24,24,1,48,0,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Domination,Hackney Yard,3,10,C6,22,33,0.67,55,-11,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Domination,Hackney Yard,3,42,Clayster,24,32,0.75,56,-8,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Domination,Hackney Yard,3,11,iLLey,25,31,0.81,56,-6,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Domination,Hackney Yard,3,12,Huke,27,28,0.96,55,-1,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-3,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Domination,Hackney Yard,3,9,Shotzzy,12,34,0.35,46,-22,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Gun Runner,4,25,Arcitys,40,23,1.74,63,17,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Gun Runner,4,21,FORMAL,30,25,1.2,55,5,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Gun Runner,4,16,Gunless,24,29,0.83,53,-5,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Gun Runner,4,23,Envoy,25,31,0.81,56,-6,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,104,Chicago Huntsmen,105,Dallas Empire,Hardpoint,Gun Runner,4,24,Scump,35,28,1.25,63,7,Win
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Gun Runner,4,10,C6,30,31,0.97,61,-1,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Gun Runner,4,42,Clayster,26,34,0.76,60,-8,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Gun Runner,4,11,iLLey,27,31,0.87,58,-4,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Gun Runner,4,12,Huke,27,28,0.96,55,-1,Loss
mw-launch-schedmatch-match-1,mw-launch-schedmatch-match-1-map-4,CDL Launch Weekend 2020,105,Dallas Empire,104,Chicago Huntsmen,Hardpoint,Gun Runner,4,9,Shotzzy,29,29,1,58,0,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Hardpoint,St. Petrograd,1,13,Octane,29,19,1.53,48,10,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Hardpoint,St. Petrograd,1,64,Karma,34,21,1.62,55,13,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Hardpoint,St. Petrograd,1,39,Slacked,18,22,0.82,40,-4,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Hardpoint,St. Petrograd,1,32,Apathy,19,25,0.76,44,-6,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Hardpoint,St. Petrograd,1,65,Enable,30,23,1.3,53,7,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Hardpoint,St. Petrograd,1,66,Maux,21,23,0.91,44,-2,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Hardpoint,St. Petrograd,1,38,Skyz,23,24,0.96,47,-1,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Hardpoint,St. Petrograd,1,67,Frosty,23,26,0.88,49,-3,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Hardpoint,St. Petrograd,1,55,Havok,21,23,0.91,44,-2,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-1,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Hardpoint,St. Petrograd,1,14,Prestinni,22,34,0.65,56,-12,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Search and Destroy,Gun Runner,2,13,Octane,4,8,0.5,12,-4,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Search and Destroy,Gun Runner,2,64,Karma,7,9,0.78,16,-2,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Search and Destroy,Gun Runner,2,39,Slacked,6,8,0.75,14,-2,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Search and Destroy,Gun Runner,2,32,Apathy,9,6,1.5,15,3,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Search and Destroy,Gun Runner,2,65,Enable,6,6,1,12,0,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Search and Destroy,Gun Runner,2,66,Maux,6,6,1,12,0,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Search and Destroy,Gun Runner,2,38,Skyz,11,7,1.57,18,4,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Search and Destroy,Gun Runner,2,67,Frosty,7,7,1,14,0,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Search and Destroy,Gun Runner,2,55,Havok,7,6,1.17,13,1,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-2,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Search and Destroy,Gun Runner,2,14,Prestinni,6,6,1,12,0,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Domination,Gun Runner,3,13,Octane,34,21,1.62,55,13,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Domination,Gun Runner,3,64,Karma,23,20,1.15,43,3,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Domination,Gun Runner,3,39,Slacked,15,19,0.79,34,-4,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Domination,Gun Runner,3,32,Apathy,27,22,1.23,49,5,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,106,Seattle Surge,107,Florida Mutineers,Domination,Gun Runner,3,65,Enable,27,23,1.17,50,4,Win
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Domination,Gun Runner,3,66,Maux,23,22,1.05,45,1,Loss
mw-launch-schedmatch-match-2,mw-launch-schedmatch-match-2-map-3,CDL Launch Weekend 2020,107,Florida Mutineers,106,Seattle Surge,Domination,Gun Runner,3,38,Skyz,22,26,0.85,48,-4,Loss
