Match ID,Map ID,Event,Team ID,Team,Opponent ID,Opponent,Mode,Map,Player ID,Player,Score,Kills,Deaths,K/D,Engagements,Difference,Damage,Map Result,Total Hill Time,P1 Time,P2 Time,P3 Time,P4 Time,P5 Time,First Bloods,First Deaths,Bombs Planted,Bombs Defused,Avg SnD Kills/Round,Avg SnD Dmg/Round,Tiers Captured,Offense Kills,Offense OBJ Kills,Defense Kills,Defense OBJ Kills,Avg Control Dmg/Round
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Hardpoint,Garrison,1,Kenny,,32,28,1.14,60,4,,Win,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Hardpoint,Garrison,2,TJHaLy,,22,28,0.79,50,-6,,Win,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Hardpoint,Garrison,3,SlasheR,,28,23,1.22,51,5,,Win,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Hardpoint,Garrison,4,Temp,,25,26,0.96,51,-1,,Win,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Hardpoint,Garrison,5,Accuracy,,31,30,1.03,61,1,,Loss,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Hardpoint,Garrison,6,Attach,,32,24,1.33,56,8,,Loss,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Hardpoint,Garrison,7,MajorManiak,,23,26,0.88,49,-3,,Loss,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-1,Stage 1 Week 1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Hardpoint,Garrison,8,Priestahh,,19,28,0.68,47,-9,,Loss,,,,,,,,,,,,,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-2,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Search and Destroy,Miami,1,Kenny,525.0,6,6,1.0,12,0,1114.0,Loss,,,,,,,0.0,2.0,0.0,0.0,0.67,123.78,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-2,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Search and Destroy,Miami,2,TJHaLy,450.0,6,8,0.75,14,-2,1647.0,Loss,,,,,,,2.0,0.0,0.0,0.0,0.67,170.33,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-2,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Search and Destroy,Miami,3,SlasheR,665.0,7,7,1.0,14,0,1581.0,Loss,,,,,,,1.0,1.0,0.0,0.0,0.78,175.67,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-2,Stage 1 Week 1,116.0,Los Angeles Thieves,109.0,Minnesota RØKKR,Search and Destroy,Miami,4,Temp,575.0,6,8,0.75,14,-2,1335.0,Loss,,,,,,,1.0,3.0,1.0,0.0,0.56,116.11,,,,,,
cw-s1w1-groupplay-match-1,cw-s1w1-groupplay-match-1-map-2,Stage 1 Week 1,109.0,Minnesota RØKKR,116.0,Los Angeles Thieves,Search and Destroy,Miami,5,Accuracy,1725.0,9,5,1.8,14,4,2129.0,Win,,,,,,,2.0,1.0,0.0,0.0,0.89,212.89,,,,,,
