Team ID,Name,Twitter Username,Instagram Username,Twitch Channel,YouTube Channel,Past Team Names,Twitter Followers,Instagram Followers,Twitch Followers,YouTube Subscribers
1,Luminosity Gaming,Luminosity,LGLoyal,,https://www.youtube.com/channel/UCaTufjz-GIsLmc86CxhjSnw,,,,,
2,Epsilon Esports,Epsilon_eSports,,,https://www.youtube.com/user/EpsiloneSport,,,,,
3,Team Vitality,TeamVitality,,,,,,,,
4,Ground Zero,,,,,,,,,
5,eUnited,eUnited,eunitedgg,,https://www.youtube.com/channel/UCUGrMmlhV57kpWBKEL8w5CQ,,,,,
6,Evil Geniuses,EvilGeniuses,evilgeniuses,,https://www.youtube.com/channel/UCQCuF3-MPYBSu-l8Mf-PXsA,,,,,
7,Splyce,,,,,,,,,
8,Ghost Gaming,GhostGaming,GhostGaming_GG,,,,,,,
9,OpTic Gaming,OpTic,opticgaming,,https://www.youtube.com/opticcraft,,,,,
10,Enigma6 Group,Enigma6Group,OfficialEnigma6,,https://www.youtube.com/channel/UCWpnPW0WRA0RxQUVpbLlc5w,,,,,
11,UNILAD Esports,UNILADEsports,,,,,,,,
12,Team Envy,Envy,teamenvy,,https://www.youtube.com/user/TeamEnVyUs,Team EnVyUs,,,,
13,Red Reserve,,,,,,,,,
14,Team Kaliber,TeamKaliber,TeamKaliber,,https://www.youtube.com/teamkaliber,,,,,
15,Rise Nation,TheRiseNation,,,https://www.youtube.com/user/TeamRiseCOD,,,,,
16,Mindfreak,Mindfreak,mindfreakpro,,https://www.youtube.com/mindfreakpro,,,,,
17,Echo Fox,echofoxgg,echofoxgg,,https://www.youtube.com/channel/UCNUKTjgmA5gPwrUYmdgfqvw,,,,,
18,Team Allegiance,TeamAllegiance,,,https://www.youtube.com/c/teamallegiancegg,,,,,
19,Next Threat,NexTThreatPRO,,,https://www.youtube.com/user/nextthreatgaming,,,,,
20,FaZe Clan,FaZeClan,FaZeClan,,https://www.youtube.com/user/FaZeClan,,,,,
21,SiNister,,,,,,,,,
22,Millenium,MilleniumTeam,,,,,,,,
23,Lightning Pandas,LightningPandas,lightningpandaz,,,,,,,
24,Rockets Esports,,,,,,,,,
25,Complexity Gaming,Complexity,complexitygaming,,https://www.youtube.com/c/ComplexityGaming,,,,,
26,GGEA Orange,GGEAOfficial,,,,,,,,
27,GGEA Blue,GGEAOfficial,,,,,,,,
28,InControl Gaming,InControlNation,,,,,,,,
29,DooM,WeAreDooMClan,,,https://www.youtube.com/DooMClan,,,,,
30,EZG eSports,EZGeSports,,,,,,,,
31,eRa Eternity,eRaEternity,eRaEternity,eRaEternity,https://www.youtube.com/c/eRaGG,,,,,
